code,county,name,type,district,city,enrollment,pbe_pct,exempt,med_exempt,rel_exempt
109835,ALAMEDA,FAME PUBLIC CHARTER,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,109,13,12.84,0,12.84
6001788,ALAMEDA,COX ACADEMY,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,115,1,0.87,0.87,0.87
6002000,ALAMEDA,LAZEAR CHARTER ACADEMY,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,40,0,0,0,0
124172,ALAMEDA,YU MING CHARTER,PUBLIC,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,52,10,9.62,0,9.62
6100374,ALAMEDA,AMELIA EARHART ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,128,2,1.56,0,0
6110779,ALAMEDA,BAY FARM,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,70,1,1.43,0,0
6090005,ALAMEDA,DONALD D. LUM ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,100,3,3,0,0
6090013,ALAMEDA,EDISON ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,70,1,1.43,0,0
6090021,ALAMEDA,FRANK OTIS ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,95,1,1.05,1.05,0
6090039,ALAMEDA,FRANKLIN ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,50,2,2,0,0
6090047,ALAMEDA,HENRY HAIGHT ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,98,1,1.02,0,0
126656,ALAMEDA,MAYA LIN,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,73,10,9.59,0,0
119222,ALAMEDA,NEA COMMUNITY LEARNING CENTER,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,48,4,4.17,0,0
111765,ALAMEDA,RUBY BRIDGES ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,91,0,0,0,0
6090120,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,73,0,0,0,0
